Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of chemotaxis (GO:0050922)	1/32	6.660543e-02	1.704061e-01	0	0	1.530415e+01	4.145846e+01	SEMA3G
GO_Biological_Process_2021	negative regulation of developmental growth (GO:0048640)	1/32	6.660543e-02	1.704061e-01	0	0	1.530415e+01	4.145846e+01	SEMA3G
GO_Biological_Process_2021	cardiac muscle tissue morphogenesis (GO:0055008)	1/32	6.660543e-02	1.704061e-01	0	0	1.530415e+01	4.145846e+01	TGFBR3
GO_Biological_Process_2021	skeletal muscle organ development (GO:0060538)	1/32	6.660543e-02	1.704061e-01	0	0	1.530415e+01	4.145846e+01	MYH14
GO_Biological_Process_2021	liver development (GO:0001889)	1/32	6.660543e-02	1.704061e-01	0	0	1.530415e+01	4.145846e+01	TGFBR3
GO_Biological_Process_2021	membrane depolarization (GO:0051899)	1/32	6.660543e-02	1.704061e-01	0	0	1.530415e+01	4.145846e+01	SCN3A
GO_Biological_Process_2021	endodermal cell differentiation (GO:0035987)	1/32	6.660543e-02	1.704061e-01	0	0	1.530415e+01	4.145846e+01	COL8A1
GO_Biological_Process_2021	lytic vacuole organization (GO:0080171)	1/33	6.861544e-02	1.717578e-01	0	0	1.482515e+01	3.972010e+01	ABCA1
GO_Biological_Process_2021	vasculogenesis (GO:0001570)	1/33	6.861544e-02	1.717578e-01	0	0	1.482515e+01	3.972010e+01	TGFBR3
GO_Biological_Process_2021	negative chemotaxis (GO:0050919)	1/33	6.861544e-02	1.717578e-01	0	0	1.482515e+01	3.972010e+01	SEMA3G
GO_Biological_Process_2021	axon guidance (GO:0007411)	2/203	7.059199e-02	1.717578e-01	0	0	4.794564e+00	1.270961e+01	LAMA1;SEMA3G
GO_Biological_Process_2021	positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742)	1/34	7.062123e-02	1.717578e-01	0	0	1.437518e+01	3.810033e+01	AREG
GO_Biological_Process_2021	striated muscle tissue development (GO:0014706)	1/34	7.062123e-02	1.717578e-01	0	0	1.437518e+01	3.810033e+01	MYH14
GO_Biological_Process_2021	central nervous system neuron differentiation (GO:0021953)	1/34	7.062123e-02	1.717578e-01	0	0	1.437518e+01	3.810033e+01	PHOX2B
GO_Biological_Process_2021	ventricular cardiac muscle tissue morphogenesis (GO:0055010)	1/34	7.062123e-02	1.717578e-01	0	0	1.437518e+01	3.810033e+01	TGFBR3
GO_Biological_Process_2021	bicarbonate transport (GO:0015701)	1/35	7.262279e-02	1.723698e-01	0	0	1.395168e+01	3.658795e+01	CA12
GO_Biological_Process_2021	respiratory system development (GO:0060541)	1/35	7.262279e-02	1.723698e-01	0	0	1.395168e+01	3.658795e+01	PHOX2B
GO_Biological_Process_2021	response to exogenous dsRNA (GO:0043330)	1/35	7.262279e-02	1.723698e-01	0	0	1.395168e+01	3.658795e+01	IRAK3
GO_Biological_Process_2021	semaphorin-plexin signaling pathway (GO:0071526)	1/35	7.262279e-02	1.723698e-01	0	0	1.395168e+01	3.658795e+01	SEMA3G
GO_Biological_Process_2021	negative regulation of toll-like receptor signaling pathway (GO:0034122)	1/36	7.462014e-02	1.750020e-01	0	0	1.355238e+01	3.517310e+01	IRAK3
GO_Biological_Process_2021	endoderm formation (GO:0001706)	1/36	7.462014e-02	1.750020e-01	0	0	1.355238e+01	3.517310e+01	COL8A1
GO_Biological_Process_2021	skeletal muscle tissue development (GO:0007519)	1/37	7.661329e-02	1.769673e-01	0	0	1.317526e+01	3.384705e+01	MYH14
